kev: jaredpalmer/kev-0.8b on cuda (float32)
[1/4500] 9deee0d4f93c6a7867eef08fe3be63be#1 qwen=Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (1.27s/msg, eta 95 min)
[2/4500] 9deee0d4f93c6a7867eef08fe3be63be#4 qwen=Ambiguous References; Unnecessary Repetition | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (1.52s/msg, eta 114 min)
[3/4500] 9deee0d4f93c6a7867eef08fe3be63be#6 qwen=Ambiguous References; Formality / Audience Mismatch | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (1.50s/msg, eta 113 min)
[4/4500] 9deee0d4f93c6a7867eef08fe3be63be#7 qwen=Ambiguous References; Unnecessary Repetition | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (1.49s/msg, eta 112 min)
[5/4500] 6d4b097a71e2c582c7b26e10589599ea#2 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Format Ambiguity; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (1.52s/msg, eta 114 min)
[6/4500] 45b1bae8034accbf0aafe01ba9732485#2 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (1.59s/msg, eta 119 min)
[7/4500] 75a8afbd34d0158422ad6a9e33005729#1 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (1.62s/msg, eta 121 min)
[8/4500] 75a8afbd34d0158422ad6a9e33005729#2 qwen=Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (1.61s/msg, eta 121 min)
[9/4500] 75a8afbd34d0158422ad6a9e33005729#3 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (1.63s/msg, eta 122 min)
[10/4500] 75a8afbd34d0158422ad6a9e33005729#6 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (1.65s/msg, eta 123 min)
[11/4500] 258523717d4e397987b402c3f3518af6#1 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints (1.66s/msg, eta 124 min)
[12/4500] 258523717d4e397987b402c3f3518af6#2 qwen=Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Bias / Loaded Framing (1.66s/msg, eta 124 min)
[13/4500] 258523717d4e397987b402c3f3518af6#3 qwen=Ambiguous References; Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (1.65s/msg, eta 124 min)
[14/4500] 258523717d4e397987b402c3f3518af6#4 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing (1.66s/msg, eta 124 min)
[15/4500] 258523717d4e397987b402c3f3518af6#5 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (1.69s/msg, eta 126 min)
[16/4500] 258523717d4e397987b402c3f3518af6#6 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Conflicting Constraints; Bias / Loaded Framing (1.68s/msg, eta 125 min)
[17/4500] 258523717d4e397987b402c3f3518af6#7 qwen=Vague / Missing Context; Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (1.67s/msg, eta 125 min)
[18/4500] 88d5fd13c3e0ff9bd7b131b9c251dd0f#2 qwen=Format Ambiguity; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (1.65s/msg, eta 123 min)
[19/4500] 88d5fd13c3e0ff9bd7b131b9c251dd0f#3 qwen=None | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (1.64s/msg, eta 122 min)
[20/4500] 88d5fd13c3e0ff9bd7b131b9c251dd0f#4 qwen=Ambiguous References; Vague / Missing Context | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints (1.64s/msg, eta 123 min)
[21/4500] 88d5fd13c3e0ff9bd7b131b9c251dd0f#5 qwen=Vague / Missing Context; Ambiguous References | kev=Vague / Missing Context; Overloaded Prompt; Conflicting Constraints; Bias / Loaded Framing (1.63s/msg, eta 121 min)
[22/4500] 88d5fd13c3e0ff9bd7b131b9c251dd0f#6 qwen=Format Ambiguity | kev=Vague / Missing Context; Overloaded Prompt; Prompt Bloat / Convoluted Prompt; Unnecessary Repetition; Conflicting Constraints; Bias / Loaded Framing; Formality / Audience Mismatch (1.61s/msg, eta 120 min)
[23/4500] 88d5fd13c3e0ff9bd7b131b9c251dd0f#7 qwen=Format Ambiguity | kev=Vague / Missing Context; Format Ambiguity; Overloaded Prompt; Conflicting Constraints (1.61s/msg, eta 120 min)
